ko_id,Description,,,,,,,,,,,,,,,,,
K03284,"Function: Imports
 magnesium ions across the membrane; Role in LAB: Maintains intracellular Mg²? levels required for enzymatic activity and ribosome stability; Probiotic/Food Relevance: Enhances metabolic enzyme activity and stress tolerance; Biological Pathway: Magnesium ion transport.",,,,,,,,,,,,,,,,,
K07497,"Function: Catalyzes
 DNA transposition events; Role in LAB: Facilitates genome rearrangement and genetic adaptability; Probiotic/Food Relevance: May contribute to genomic evolution and adaptation in probiotic strains; Biological Pathway: Transposition and mobile genetic element activity.",,,,,,,,,,,,,,,,,
K07025,"Function: Hydrolyzes 
phosphorylated substrates as part of HAD superfamily hydrolases; Role in LAB: Participates in dephosphorylation reactions in metabolism; Probiotic/Food Relevance: Supports diverse metabolic functions; Biological Pathway: General metabolism and phosphatase activity.",,,,,,,,,,,,,,,,,
K07483,"Function: Catalyzes 
DNA transposition enabling gene mobility; Role in LAB: Promotes horizontal gene transfer and genetic diversity; Probiotic/Food Relevance: Enhances adaptability under environmental stress; Biological Pathway: Transposition and genome mobility.",,,,,,,,,,,,,,,,,
K07052,"Function: Cleaves
 CAAX motifs from prenylated proteins during maturation; Role in LAB: Involved in post-translational modification of membrane-associated proteins; Probiotic/Food Relevance: Aids protein processing and cellular function; Biological Pathway: Protein maturation and processing.",,,,,,,,,,,,,,,,,
K06180,"Function: Converts 
specific uridines to pseudouridines in 23S rRNA, enhancing ribosome stability and function; Role in LAB: Maintains translational accuracy and ribosomal integrity; Probiotic/Food Relevance: Supports robust protein synthesis and cell viability; Biological Pathway: RNA modification.",,,,,,,,,,,,,,,,,
K00661,"Function: Catalyzes 
acetylation of maltose to form maltose O-acetate; Role in LAB: Regulates carbohydrate metabolism and detoxifies acetyl-CoA derivatives; Probiotic/Food Relevance: Contributes to carbohydrate processing and stress protection; Biological Pathway: Carbohydrate metabolism.",,,,,,,,,,,,,,,,,
K02028,"Function: Provides
 ATP-derived energy for polar amino acid transport via ABC-type transporter; Role in LAB: Enables uptake of essential amino acids; Probiotic/Food Relevance: Supports protein biosynthesis and metabolic balance; Biological Pathway: ABC transporters.",,,,,,,,,,,,,,,,,
K15580,"Function: Binds
 oligopeptides for transport through the ABC transporter system; Role in LAB: Facilitates peptide uptake for nutrition and signaling; Probiotic/Food Relevance: Involved in quorum sensing and nutrient acquisition; Biological Pathway: ABC transporters, quorum sensing (map01501, map02010, map02024).",,,,,,,,,,,,,,,,,
K15634,"Function: Catalyzes
 conversion of 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; Role in LAB: Essential for energy metabolism and amino acid biosynthesis; Probiotic/Food Relevance: Supports lactic acid production and growth; Biological Pathway: Glycolysis/Gluconeogenesis and amino acid metabolism (EC:5.4.2.11, map00010, map00260).",,,,,,,,,,,,,,,,,
